Date,Value
1963-09-01,9417.0
1963-08-01,9368.0
1963-07-01,9334.0
1963-06-01,9302.0
1963-05-01,9288.0
1963-04-01,9264.0
1963-03-01,9245.0
1963-02-01,9231.0
1963-01-01,9204.0
1962-12-01,9126.0
1962-11-01,9145.0
1962-10-01,9114.0
1962-09-01,9089.0
1962-08-01,9063.0
1962-07-01,9026.0
1962-06-01,9000.0
1962-05-01,8958.0
1962-04-01,8922.0
1962-03-01,8901.0
1962-02-01,8878.0
1962-01-01,8851.0
1961-12-01,8836.0
1961-11-01,8812.0
1961-10-01,8805.0
1961-09-01,8796.0
1961-08-01,8764.0
1961-07-01,8724.0
1961-06-01,8688.0
1961-05-01,8664.0
1961-04-01,8629.0
1961-03-01,8611.0
1961-02-01,8587.0
1961-01-01,8564.0
1960-12-01,8597.0
1960-11-01,8516.0
1960-10-01,8502.0
1960-09-01,8494.0
1960-08-01,8472.0
1960-07-01,8442.0
1960-06-01,8432.0
1960-05-01,8432.0
1960-04-01,8534.0
1960-03-01,8525.0
1960-02-01,8326.0
1960-01-01,8307.0
1959-12-01,8368.0
1959-11-01,8284.0
1959-10-01,8265.0
1959-09-01,8239.0
1959-08-01,8181.0
1959-07-01,8173.0
1959-06-01,8143.0
1959-05-01,8153.0
1959-04-01,8142.0
1959-03-01,8132.0
1959-02-01,8116.0
1959-01-01,8105.0
1958-12-01,8100.0
1958-11-01,8028.0
1958-10-01,8031.0
1958-09-01,8016.0
1958-08-01,8012.0
1958-07-01,7972.0
1958-06-01,7926.0
1958-05-01,7894.0
1958-04-01,7868.0
1958-03-01,7848.0
1958-02-01,7832.0
1958-01-01,7821.0
1957-12-01,7846.0
1957-11-01,7769.0
1957-10-01,7768.0
1957-09-01,7749.0
1957-08-01,7757.0
1957-07-01,7754.0
1957-06-01,7702.0
1957-05-01,7713.0
1957-04-01,7701.0
1957-03-01,7672.0
1957-02-01,7646.0
1957-01-01,7620.0
1956-12-01,7584.0
1956-11-01,7553.0
1956-10-01,7519.0
1956-09-01,7481.0
1956-08-01,7451.0
1956-07-01,7405.0
1956-06-01,7367.0
1956-05-01,7367.0
1956-04-01,7276.0
1956-03-01,7252.0
1956-02-01,7212.0
1956-01-01,7167.0
1955-12-01,7132.0
1955-11-01,7083.0
1955-10-01,7118.0
1955-09-01,7067.0
1955-08-01,7023.0
1955-07-01,7049.0
1955-06-01,7020.0
1955-05-01,6991.0
1955-04-01,6959.0
1955-03-01,6938.0
1955-02-01,6923.0
1955-01-01,6953.0
1954-12-01,6957.0
1954-11-01,6964.0
1954-10-01,6900.0
1954-09-01,6894.0
1954-08-01,6892.0
1954-07-01,6868.0
1954-06-01,6846.0
1954-05-01,6829.0
1954-04-01,6806.0
1954-03-01,6796.0
1954-02-01,6783.0
1954-01-01,6760.0
1953-12-01,6743.0
1953-11-01,6749.0
1953-10-01,6764.0
1953-09-01,6749.0
1953-08-01,6754.0
1953-07-01,6723.0
1953-06-01,6734.0
1953-05-01,6717.0
1953-04-01,6770.0
1953-03-01,6784.0
1953-02-01,6797.0
1953-01-01,6794.0
1952-12-01,6935.0
1952-11-01,6801.0
1952-10-01,6816.0
1952-09-01,6734.0
1952-08-01,6718.0
